"object_id","lat","lon","source","riqueza","Chl","POC","gamma","SST","SSS","bbp"
"D20211219T055118_IFCB107",-45.993,-60.4077,"talud",10,2.96914468648043,282.352120195454,1.02721833364759,12.2461666666667,33.49518,0.00120388392260724
"D20211219T052654_IFCB107",-45.9878,-60.3505,"talud",12,3.71960666870749,314.079431494223,1.03524519274244,12.0280875,33.4854916666667,0.00132757230478146
"D20211219T050230_IFCB107",-45.9781,-60.2921,"talud",17,3.8342190204818,341.126022125343,0.990777659375979,11.8847916666667,33.4705666666667,0.00185893741168693
"D20211219T043805_IFCB107",-45.967,-60.2358,"talud",15,4.40840953202844,357.774605487158,0.95931231849448,11.8111566666667,33.47196,0.00241607886169345
"D20211219T041341_IFCB107",-45.9525,-60.1953,"talud",14,4.49832965422998,365.488924691728,0.932571695539522,11.8323611111111,33.4728888888889,0.00255122129705591
"D20211219T034916_IFCB107",-45.9297,-60.1655,"talud",13,5.43885613224032,379.571966990708,0.864082570900954,11.7994555555556,33.5007861111111,0.00269444617824717
"D20211219T032452_IFCB107",-45.9052,-60.1344,"talud",14,6.44639292433321,376.127960313234,0.886753794150769,11.7281833333333,33.5085666666667,0.00264947035361362
"D20211219T030028_IFCB107",-45.883,-60.0991,"talud",16,6.90315293542023,370.861043359383,0.82831953131381,11.4677083333334,33.4857166666666,0.00286139422112506
"D20211219T023604_IFCB107",-45.8629,-60.0607,"talud",16,6.42025119861643,373.547522216666,0.78475224945087,11.6159694444444,33.5253444444444,0.00312685102797186
"D20211219T021141_IFCB107",-45.8447,-60.0219,"talud",15,4.78069849412056,352.202473065865,0.732895985514813,11.5745666666667,33.6129333333333,0.00267017520965897
"D20211219T014719_IFCB107",-45.8272,-59.9814,"talud",18,2.71495749001273,316.250556760433,0.911100508634647,11.5201133333333,33.71557,0.00177131364727147
"D20211219T012257_IFCB107",-45.8102,-59.9422,"talud",16,1.49918492171186,213.841513659801,1.1801581774453,11.7524138888889,33.7372444444444,0.00123744259887337
"D20211219T005834_IFCB107",-45.7903,-59.9047,"talud",16,0.688420178505221,127.249238245987,1.13339048510389,11.6027722222222,33.8221416666667,0.000643013570315351
"D20211219T003412_IFCB107",-45.7693,-59.8751,"talud",19,0.610021763138458,125.213381873431,1.13268699408907,11.2806611111111,33.8529333333333,0.000812839380478713
"D20211218T234525_IFCB107",-45.7196,-59.8094,"talud",19,0.490363396866294,109.7143608217,1.17557788686406,10.9284714285714,33.8804928571429,0.000771920926388645
"D20211218T232100_IFCB107",-45.694,-59.7771,"talud",15,0.478228820546849,107.75592537385,1.14950167867438,10.9751166666667,33.8770833333333,0.000663747546834553
"D20211218T225636_IFCB107",-45.6659,-59.7381,"talud",19,0.515442600068801,120.449747981762,1.13705709475462,10.8383233333333,33.87979,0.000780755772361494
